order_id,customer_id,customer_unique_id,customer_city,customer_state,customer_zip_code_prefix,product_id,seller_id,seller_city,seller_state,seller_zip_code_prefix,price,freight_value,payment_value,payment_type,payment_sequential,payment_installments,order_purchase_timestamp,order_delivered_customer_date,product_category_name_english,product_weight_g,product_length_cm,product_height_cm,product_width_cm
d70442bc5e3cb7438da497cc6a210f80,10a79ef2783cae3d8d678e85fde235ac,21dbe8eabd00b34492a939c540e2b1a7,"sao paulo",SP,2413,9a8706b8c060b16e5f0d2925f20bc35b,0be8ff43f22e456b4e0371b2245e4d01,"sao paulo",SP,4461,6.90,7.39,14.29,credit_card,1,1,"2018-08-29 10:22:00","2018-08-30 16:03:00",sports_leisure,100,25,25,25
b669dc3736aa7bf3f5f181f9f460dde5,237cd40f8611065ccaee3db2484eedaa,4e1be68fdb65f1ffe1cb79ce38da2a84,guarulhos,SP,7020,65bebe0ebbe0c371c9ad29d76801482c,6561d6bf844e464b4019442692b40e02,"franco da rocha",SP,7859,41.90,7.55,49.45,credit_card,1,2,"2018-08-28 09:26:00","2018-08-29 19:51:00",sports_leisure,217,18,13,15
f4a8925490afed995d0e987c48908d2c,26b73fb8069041c193a5001e01fcccfd,a9a01f767af5be3c3666cf307d5f790f,"sao paulo",SP,5025,0c96091f6f20b1d2c946a933370782a4,d9a84e1403de8da0c3aa531d6d108ba6,"sao paulo",SP,3562,14.90,7.39,22.29,credit_card,1,2,"2018-08-28 09:18:00","2018-08-29 15:33:00",sports_leisure,200,20,4,15
3e72677344408fece35547ac4c8ebb94,bd4a8885eb34fde35641c041de257375,faa906cd93e9c6017fc5e6f885f3a05c,"sao paulo",SP,1548,e1e0040c906cc890d032092141a9b6de,e9779976487b77c6d4ac45f75ec7afe9,"praia grande",SP,11701,79.49,8.30,87.79,credit_card,1,1,"2018-08-28 01:57:00","2018-08-29 19:26:00",sports_leisure,200,18,18,18
68dd7c23e8b6c1e5f3ad16be5dd4bdf6,175f8430de932f744f8eebc3c680915e,41d57ab847e5ccbe403f46b07ee577d6,cotia,SP,6716,995e25d9b46dee183004994645768d95,955fee9216a65b617aa5c0531780ce60,"sao paulo",SP,4782,42.00,8.45,50.45,credit_card,1,5,"2018-08-27 22:59:00","2018-08-29 20:19:00",sports_leisure,500,16,15,20
21cb15950725534b614707f82846010e,c0fc852fa9977d4c42831774ed0a7eba,354433b1b8aea032a7ff237431cf88f0,"sao paulo",SP,5185,114d1f71a8c0da5baa0894d00b9debb6,3be634553519fb6536a03e1358e9fdc7,"sao paulo",SP,8275,20.20,7.40,27.60,debit_card,1,1,"2018-08-27 21:36:00","2018-08-29 21:33:00",sports_leisure,150,45,10,11
993d5d78bd251d2ad7d2607110a04bbe,7bcb97218373e2350ffcedd3dbb879e1,3ff4c32e851bed66b14cdc46ab01cfab,"cornelio procopio",PR,86300,e237317be46690f8352f2a4f9daaf6d5,c3cfdc648177fdbbbb35635a37472c53,curitiba,PR,80610,55.55,15.46,71.01,credit_card,1,2,"2018-08-27 21:04:00","2018-08-31 00:56:00",sports_leisure,1095,23,20,20
28c949172daaa2b250fc70ed64a45517,6074d24326b80e85de5d37536f93d9c5,85435d6cc5bd5352951d634eafa51ff6,"sao paulo",SP,5346,fb9840b7c9aa168ac9555999557fdf26,c826c40d7b19f62a09e2d7c5e7295ee2,guarulhos,SP,7133,110.77,8.04,118.81,credit_card,1,2,"2018-08-27 15:21:00","2018-08-29 21:41:00",sports_leisure,400,18,18,17
056793ca2483a5d5943cb5bd90f5b314,25308e9c16af1a99ce8c88b431f0bca5,223695e4bcc4f7b660ae257524363af2,"sao jose do rio preto",SP,15084,cc419cef76963f8e0cde78157908a6c3,fadb07c842a2aef5d5a676b85f220e71,"sao jose do rio preto",SP,15052,21.99,17.47,39.46,boleto,1,1,"2018-08-27 15:04:00","2018-08-29 15:58:00",sports_leisure,5000,50,27,27
87ce6f9094188f36623b250901635869,6eb8d127e41e5d1de3049a6bc7bd912e,149408087e7c2a2c349f11a171b53dba,"sao paulo",SP,8430,4a545fda8038a360bd93a5f1ac419a4e,9b013e03b2ab786505a1d3b5c0756754,"vicente de carvalho",SP,11450,17.00,7.39,73.17,boleto,1,1,"2018-08-27 14:54:00","2018-08-29 14:54:00",sports_leisure,100,18,18,18
